A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
-0.001358564,0.031748698,0.023127935,0.011379968,-0.012502637,0.006182375,0.011674143,0.008589133,-0.017283612,-0.031845381
-0.001749442,0,0.001921509,-0.003681039,0.002037474,-0.015779279,-0.051772943,-0.01248785,-0.0205778,-0.006100237
0.007365802,-0.015748357,-0.003537707,0.006883895,-0.007921312,-0.007824631,-0.045497601,-0.011992415,0.002625797,0.020058338
0.003855055,0.011834458,0,-0.003787079,0.002813293,0,0,-0.002903096,-0.002046999,0
-0.008306819,0.00781254,-0.001236611,0.000875747,0.006650902,-0.011886288,-0.02150881,-0.009177977,-0.009389944,0.005969409
0,0.019268419,-0.018827759,0.003781795,-0.005490182,0.003191055,0.023157505,0.010132415,-0.012295473,-0.02142489
-0.006226913,-0.023167059,0.002333637,0.006601121,-0.017557134,-0.01564823,-0.042711794,-0.007790378,-0.00166839,0.067835722
-0.011386067,0.00778214,-0.003558195,0.009876176,-0.00199417,-0.00263137,-0.004707615,0.003830758,-0.006059162,-0.088322678
-0.000592476,-0.031498667,0.002743893,0.002054221,-0.006486953,0.016024667,0.062770272,0.008417673,0.021320662,0.063415282
0.001579155,0,0.000351712,0.005004992,0.005634041,0.002689455,0.001323703,0.005750469,-0.002367892,-0.008553707
0.001970444,-0.012072581,0.009761386,0.003398776,-0.004865015,0.002720054,0.013423792,0.012442679,0.015678674,-0.031752731
0.001966569,0.00806456,0.007013343,-0.006466866,0.001982789,0.028055485,0.055461857,0.001495872,-0.02593169,-0.02603639
0.002550772,-0.00806456,-0.010556939,-0.005307284,0.001297597,0.000416273,0.001074595,0.001120489,0.012963241,0.004639247
-0.014806311,0.00806456,0.001158099,0.00245736,0.007821139,0.00260564,-0.014457177,-0.011538385,-0.012243615,-0.016023649
-0.020089064,0,-0.028001345,0.008014768,-0.003266245,-0.007605451,-0.009356487,-0.00624212,0.001862325,0.030816819
0.000811359,0,-0.023532747,0.001244544,0.004370105,-0.00028677,-0.020753385,0.015776046,-0.004772514,0.037840643
0.002227849,0.019881371,0.015184819,0.001017405,0.002501375,-0.00449789,-0.027520647,-0.009189981,-0.014393758,-0.001804124
0.003433306,0.031010237,-0.010379855,0.007036564,0.004730147,-0.001829914,0.017690969,0.002213199,-0.016681361,-0.021273333
0.000201593,0.018904155,0.002787472,0.004086496,0.001900545,-0.002450478,-0.014872421,0.004213042,0.007445015,0.102787016
0.005628156,0,0.001170343,-0.001676814,-0.000165249,0.014337135,0.024206716,-0.00135607,0,-0.103291048
0.008184495,0,0.013484378,-0.002241788,-0.007818019,-0.014984323,-0.044077527,-0.016242258,0,0.018820494
-0.002587839,-0.018904155,0.000397197,-0.000335761,-0.000655578,0.000781413,0.022353345,-0.009936651,-0.000264845,-0.048117525
0,-0.019268419,0.009054776,-0.005287455,-0.011930787,0.013498357,0.033762483,0.001228304,0.034639839,-0.001100446
-0.006398742,0,-0.002364023,0.006744226,-0.002021675,-0.002869121,0.024476098,0.016101913,0,0.000488938
-0.015974458,0.015444322,-0.026225645,0.010311358,0.011864763,0.014898349,0.026382413,0.004589132,-0.002774181,-0.028564762
